price,percentChange,change,price_ma,month,quarter,year,dayofweek
31.38,0.0,0.0,,6,2,1983,2
32.0,1.976,0.62,,7,3,1983,4
31.59,-1.281,-0.41,31.656666666666666,8,3,1983,0
30.36,-3.894,-1.23,31.316666666666666,9,3,1983,3
30.37,0.033,0.01,30.773333333333337,10,4,1983,5
29.23,-3.754,-1.14,29.986666666666668,11,4,1983,1
29.6,1.266,0.37,29.733333333333334,12,4,1983,3
29.98,1.284,0.38,29.603333333333335,1,1,1984,6
30.55,1.901,0.57,30.043333333333333,2,1,1984,2
30.85,0.982,0.3,30.460000000000004,3,1,1984,3
30.26,-1.912,-0.59,30.553333333333338,4,2,1984,6
30.83,1.884,0.57,30.646666666666672,5,2,1984,1
29.75,-3.503,-1.08,30.28,6,2,1984,4
27.6,-7.227,-2.15,29.393333333333334,7,3,1984,6
29.23,5.906,1.63,28.860000000000003,8,3,1984,2
29.66,1.471,0.43,28.830000000000002,9,3,1984,5
28.46,-4.046,-1.2,29.11666666666667,10,4,1984,0
27.31,-4.041,-1.15,28.47666666666667,11,4,1984,3
26.41,-3.295,-0.9,27.393333333333334,12,4,1984,5
26.41,0.0,0.0,26.709999999999997,1,1,1985,1
26.73,1.212,0.32,26.516666666666666,2,1,1985,4
28.29,5.836,1.56,27.143333333333334,3,1,1985,4
27.63,-2.333,-0.66,27.55,4,2,1985,0
27.84,0.76,0.21,27.92,5,2,1985,2
26.87,-3.484,-0.97,27.44666666666667,6,2,1985,5
27.12,0.93,0.25,27.27666666666667,7,3,1985,0
28.08,3.54,0.96,27.35666666666667,8,3,1985,3
29.08,3.561,1.0,28.093333333333334,9,3,1985,6
30.38,4.47,1.3,29.179999999999996,10,4,1985,1
29.75,-2.074,-0.63,29.736666666666668,11,4,1985,4
26.3,-11.597,-3.45,28.810000000000002,12,4,1985,6
18.83,-28.403,-7.47,24.960000000000004,1,1,1986,2
13.26,-29.58,-5.57,19.463333333333335,2,1,1986,5
10.42,-21.418,-2.84,14.170000000000002,3,1,1986,5
13.34,28.023,2.92,12.340000000000002,4,2,1986,1
14.3,7.196,0.96,12.686666666666667,5,2,1986,3
12.78,-10.629,-1.52,13.473333333333334,6,2,1986,6
11.15,-12.754,-1.63,12.743333333333334,7,3,1986,1
15.9,42.601,4.75,13.276666666666669,8,3,1986,4
14.77,-7.107,-1.13,13.94,9,3,1986,0
15.27,3.385,0.5,15.313333333333334,10,4,1986,2
15.0,-1.768,-0.27,15.013333333333335,11,4,1986,5
17.94,19.6,2.94,16.07,12,4,1986,0
18.75,4.515,0.81,17.23,1,1,1987,3
16.6,-11.467,-2.15,17.763333333333335,2,1,1987,6
18.83,13.434,2.23,18.06,3,1,1987,6
18.73,-0.531,-0.1,18.05333333333333,4,2,1987,2
19.38,3.47,0.65,18.98,5,2,1987,4
20.29,4.696,0.91,19.466666666666665,6,2,1987,0
21.37,5.323,1.08,20.346666666666668,7,3,1987,2
19.73,-7.674,-1.64,20.463333333333335,8,3,1987,5
19.59,-0.71,-0.14,20.23,9,3,1987,1
19.96,1.889,0.37,19.76,10,4,1987,3
18.51,-7.265,-1.45,19.353333333333335,11,4,1987,6
16.7,-9.778,-1.81,18.39,12,4,1987,1
16.94,1.437,0.24,17.383333333333336,1,1,1988,4
16.01,-5.49,-0.93,16.55,2,1,1988,0
17.08,6.683,1.07,16.676666666666666,3,1,1988,1
17.99,5.328,0.91,17.026666666666667,4,2,1988,4
17.51,-2.668,-0.48,17.526666666666667,5,2,1988,6
15.16,-13.421,-2.35,16.886666666666667,6,2,1988,2
16.31,7.586,1.15,16.326666666666668,7,3,1988,4
15.18,-6.928,-1.13,15.549999999999999,8,3,1988,0
13.37,-11.924,-1.81,14.953333333333333,9,3,1988,3
13.58,1.571,0.21,14.043333333333331,10,4,1988,5
15.32,12.813,1.74,14.089999999999998,11,4,1988,1
17.24,12.533,1.92,15.38,12,4,1988,3
17.03,-1.218,-0.21,16.53,1,1,1989,6
18.15,6.577,1.12,17.473333333333333,2,1,1989,2
20.19,11.24,2.04,18.456666666666667,3,1,1989,2
20.42,1.139,0.23,19.58666666666667,4,2,1989,5
19.9,-2.547,-0.52,20.17,5,2,1989,0
20.27,1.859,0.37,20.19666666666667,6,2,1989,3
18.31,-9.669,-1.96,19.493333333333336,7,3,1989,5
18.83,2.84,0.52,19.136666666666667,8,3,1989,1
20.13,6.904,1.3,19.09,9,3,1989,4
19.94,-0.944,-0.19,19.63333333333333,10,4,1989,6
19.89,-0.251,-0.05,19.986666666666665,11,4,1989,2
21.82,9.703,1.93,20.55,12,4,1989,4
22.68,3.941,0.86,21.463333333333335,1,1,1990,0
21.54,-5.026,-1.14,22.013333333333335,2,1,1990,3
20.28,-5.85,-1.26,21.5,3,1,1990,3
18.54,-8.58,-1.74,20.12,4,2,1990,6
17.4,-6.149,-1.14,18.74,5,2,1990,1
17.07,-1.897,-0.33,17.669999999999998,6,2,1990,4
20.69,21.207,3.62,18.386666666666667,7,3,1990,6
27.32,32.044,6.63,21.69333333333334,8,3,1990,2
39.51,44.619,12.19,29.173333333333332,9,3,1990,5
35.23,-10.833,-4.28,34.02,10,4,1990,0
28.85,-18.11,-6.38,34.53,11,4,1990,3
28.44,-1.421,-0.41,30.84,12,4,1990,5
21.54,-24.262,-6.9,26.276666666666667,1,1,1991,1
19.16,-11.049,-2.38,23.046666666666667,2,1,1991,4
19.63,2.453,0.47,20.11,3,1,1991,4
20.96,6.775,1.33,19.916666666666668,4,2,1991,0
21.13,0.811,0.17,20.573333333333334,5,2,1991,2
20.56,-2.698,-0.57,20.883333333333336,6,2,1991,5
21.68,5.447,1.12,21.12333333333333,7,3,1991,0
22.26,2.675,0.58,21.5,8,3,1991,3
22.23,-0.135,-0.03,22.05666666666667,9,3,1991,6
23.37,5.128,1.14,22.620000000000005,10,4,1991,1
21.48,-8.087,-1.89,22.36,11,4,1991,4
19.12,-10.987,-2.36,21.323333333333334,12,4,1991,6
18.9,-1.151,-0.22,19.833333333333332,1,1,1992,2
18.68,-1.164,-0.22,18.9,2,1,1992,5
19.44,4.069,0.76,19.006666666666664,3,1,1992,6
20.85,7.253,1.41,19.656666666666666,4,2,1992,2
22.11,6.043,1.26,20.8,5,2,1992,4
21.6,-2.307,-0.51,21.52,6,2,1992,0
21.87,1.25,0.27,21.86,7,3,1992,2
21.48,-1.783,-0.39,21.650000000000002,8,3,1992,5
21.71,1.071,0.23,21.686666666666667,9,3,1992,1
20.62,-5.021,-1.09,21.27,10,4,1992,3
19.89,-3.54,-0.73,20.74,11,4,1992,6
19.5,-1.961,-0.39,20.003333333333334,12,4,1992,1
20.26,3.897,0.76,19.883333333333336,1,1,1993,4
20.6,1.678,0.34,20.12,2,1,1993,0
20.44,-0.777,-0.16,20.433333333333334,3,1,1993,0
20.53,0.44,0.09,20.523333333333337,4,2,1993,3
20.02,-2.484,-0.51,20.33,5,2,1993,5
18.85,-5.844,-1.17,19.8,6,2,1993,1
17.88,-5.146,-0.97,18.916666666666668,7,3,1993,3
18.29,2.293,0.41,18.34,8,3,1993,6
18.79,2.734,0.5,18.32,9,3,1993,2
16.92,-9.952,-1.87,18.0,10,4,1993,4
15.43,-8.806,-1.49,17.046666666666667,11,4,1993,0
14.17,-8.166,-1.26,15.506666666666668,12,4,1993,2
15.19,7.198,1.02,14.93,1,1,1994,5
14.48,-4.674,-0.71,14.613333333333335,2,1,1994,1
14.79,2.141,0.31,14.819999999999999,3,1,1994,1
16.9,14.266,2.11,15.39,4,2,1994,4
18.31,8.343,1.41,16.666666666666668,5,2,1994,6
19.37,5.789,1.06,18.19333333333333,6,2,1994,2
19.77,2.065,0.4,19.150000000000002,7,3,1994,4
17.56,-11.179,-2.21,18.9,8,3,1994,0
18.39,4.727,0.83,18.573333333333334,9,3,1994,3
18.19,-1.088,-0.2,18.046666666666667,10,4,1994,5
18.05,-0.77,-0.14,18.21,11,4,1994,1
17.76,-1.607,-0.29,18.0,12,4,1994,3
18.39,3.547,0.63,18.066666666666666,1,1,1995,6
18.49,0.544,0.1,18.213333333333335,2,1,1995,2
19.17,3.678,0.68,18.683333333333334,3,1,1995,2
20.38,6.312,1.21,19.346666666666664,4,2,1995,5
18.89,-7.311,-1.49,19.48,5,2,1995,0
17.4,-7.888,-1.49,18.89,6,2,1995,3
17.56,0.92,0.16,17.95,7,3,1995,5
17.84,1.595,0.28,17.599999999999998,8,3,1995,1
17.54,-1.682,-0.3,17.646666666666665,9,3,1995,4
17.64,0.57,0.1,17.673333333333332,10,4,1995,6
18.18,3.061,0.54,17.786666666666665,11,4,1995,2
19.55,7.536,1.37,18.456666666666667,12,4,1995,4
17.74,-9.258,-1.81,18.49,1,1,1996,0
19.54,10.147,1.8,18.94333333333333,2,1,1996,3
21.47,9.877,1.93,19.583333333333332,3,1,1996,4
21.2,-1.258,-0.27,20.736666666666668,4,2,1996,0
19.76,-6.792,-1.44,20.810000000000002,5,2,1996,2
20.92,5.87,1.16,20.62666666666667,6,2,1996,5
20.42,-2.39,-0.5,20.36666666666667,7,3,1996,0
22.25,8.962,1.83,21.19666666666667,8,3,1996,3
24.38,9.573,2.13,22.349999999999998,9,3,1996,6
23.35,-4.225,-1.03,23.326666666666664,10,4,1996,1
23.75,1.713,0.4,23.826666666666664,11,4,1996,4
25.92,9.137,2.17,24.340000000000003,12,4,1996,6
24.15,-6.829,-1.77,24.606666666666666,1,1,1997,2
20.3,-15.942,-3.85,23.456666666666667,2,1,1997,5
20.41,0.542,0.11,21.62,3,1,1997,5
20.21,-0.98,-0.2,20.30666666666667,4,2,1997,1
20.88,3.315,0.67,20.5,5,2,1997,3
19.8,-5.172,-1.08,20.296666666666667,6,2,1997,6
20.14,1.717,0.34,20.273333333333333,7,3,1997,1
19.61,-2.632,-0.53,19.849999999999998,8,3,1997,4
21.18,8.006,1.57,20.31,9,3,1997,0
21.08,-0.472,-0.1,20.62333333333333,10,4,1997,2
19.15,-9.156,-1.93,20.47,11,4,1997,5
17.64,-7.885,-1.51,19.29,12,4,1997,0
17.21,-2.438,-0.43,18.0,1,1,1998,3
15.44,-10.285,-1.77,16.763333333333332,2,1,1998,6
15.61,1.101,0.17,16.086666666666666,3,1,1998,6
15.39,-1.409,-0.22,15.479999999999999,4,2,1998,2
15.2,-1.235,-0.19,15.4,5,2,1998,4
14.18,-6.711,-1.02,14.923333333333334,6,2,1998,0
14.21,0.212,0.03,14.530000000000001,7,3,1998,2
13.34,-6.122,-0.87,13.909999999999998,8,3,1998,5
16.14,20.99,2.8,14.563333333333333,9,3,1998,1
14.42,-10.657,-1.72,14.633333333333333,10,4,1998,3
11.22,-22.191,-3.2,13.926666666666668,11,4,1998,6
12.05,7.398,0.83,12.563333333333333,12,4,1998,1
12.75,5.809,0.7,12.006666666666666,1,1,1999,4
12.27,-3.765,-0.48,12.356666666666667,2,1,1999,0
16.76,36.593,4.49,13.926666666666668,3,1,1999,0
18.66,11.337,1.9,15.896666666666667,4,2,1999,3
16.84,-9.753,-1.82,17.42,5,2,1999,5
19.29,14.549,2.45,18.263333333333332,6,2,1999,1
20.53,6.428,1.24,18.886666666666667,7,3,1999,3
22.11,7.696,1.58,20.643333333333334,8,3,1999,6
24.51,10.855,2.4,22.383333333333336,9,3,1999,2
21.75,-11.261,-2.76,22.790000000000003,10,4,1999,4
24.59,13.057,2.84,23.616666666666664,11,4,1999,0
25.6,4.107,1.01,23.98,12,4,1999,2
27.64,7.969,2.04,25.94333333333333,1,1,2000,5
30.43,10.094,2.79,27.89,2,1,2000,1
26.9,-11.6,-3.53,28.323333333333334,3,1,2000,2
25.74,-4.312,-1.16,27.689999999999998,4,2,2000,5
29.01,12.704,3.27,27.21666666666667,5,2,2000,0
32.5,12.03,3.49,29.083333333333332,6,2,2000,3
27.43,-15.6,-5.07,29.646666666666665,7,3,2000,5
33.12,20.744,5.69,31.016666666666666,8,3,2000,1
30.84,-6.884,-2.28,30.463333333333335,9,3,2000,4
32.7,6.031,1.86,32.22,10,4,2000,6
33.82,3.425,1.12,32.45333333333334,11,4,2000,2
26.8,-20.757,-7.02,31.10666666666667,12,4,2000,4
28.66,6.94,1.86,29.76,1,1,2001,0
27.39,-4.431,-1.27,27.616666666666664,2,1,2001,3
26.29,-4.016,-1.1,27.44666666666667,3,1,2001,3
28.46,8.254,2.17,27.38,4,2,2001,6
28.37,-0.316,-0.09,27.706666666666667,5,2,2001,1
26.25,-7.473,-2.12,27.69333333333333,6,2,2001,4
26.35,0.381,0.1,26.99,7,3,2001,6
27.2,3.226,0.85,26.599999999999998,8,3,2001,2
