country_name,type,product,flow,year,value,price,percentChange,change,price_ma,month,quarter,dayofweek,Country Name,Country Code,country_value
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,52.2,7.585,3.68,48.68666666666667,1,1,4,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,61.5,17.816,9.3,54.07333333333335,2,1,0,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,63.58,7.471,4.42,61.41333333333333,4,2,3,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,66.93,5.269,3.35,63.223333333333336,5,2,5,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,73.47,9.771,6.54,67.99333333333334,6,2,1,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,73.95,0.653,0.48,71.45,7,3,3,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,75.03,9.533,6.53,72.49333333333333,9,3,2,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,81.78,8.996,6.75,75.10333333333334,10,4,4,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,65.85,-19.479,-15.93,74.22,11,4,0,Australia,AUS,5.11
Australia,Balance,Crude oil,Industrial Production,2021,18029.678,74.88,13.713,9.03,74.17,12,4,2,Australia,AUS,5.11
Austria,Balance,Crude oil,Industrial Production,2021,561.852,52.2,7.585,3.68,48.68666666666667,1,1,4,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,61.5,17.816,9.3,54.07333333333335,2,1,0,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,63.58,7.471,4.42,61.41333333333333,4,2,3,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,66.93,5.269,3.35,63.223333333333336,5,2,5,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,73.47,9.771,6.54,67.99333333333334,6,2,1,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,73.95,0.653,0.48,71.45,7,3,3,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,75.03,9.533,6.53,72.49333333333333,9,3,2,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,81.78,8.996,6.75,75.10333333333334,10,4,4,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,65.85,-19.479,-15.93,74.22,11,4,0,Austria,AUT,6.3
Austria,Balance,Crude oil,Industrial Production,2021,561.852,74.88,13.713,9.03,74.17,12,4,2,Austria,AUT,6.3
Belgium,Balance,Crude oil,Industrial Production,2021,0.0,52.2,7.585,3.68,48.68666666666667,1,1,4,Belgium,BEL,6.42
Belgium,Balance,Crude oil,Industrial Production,2021,0.0,61.5,17.816,9.3,54.07333333333335,2,1,0,Belgium,BEL,6.42
